id,category,subcategory,question,answer,keywords,audience,source_url,as_of
ASP-000,programme,overview,What is ASPIRE?,"ASPIRE is a Government of St Kitts and Nevis programme that gives every eligible child aged 5 to 18 a EC$1,000 contribution: EC$500 held in a savings account at the St. Kitts-Nevis-Anguilla National Bank, and EC$500 invested in shares of local government-owned entities. The name stands for Achieving Success through Personal Investment, Resources, and Education. It is designed to give every child a financial start, whatever their family's circumstances.","aspire, what is aspire, programme, overview, 1000, 500, savings, investment",general,https://aspire.gov.kn/,2026-08-20
ASP-001,Overview,Definition,What is the ASPIRE Programme?,"ASPIRE is a national financial education, savings and investment initiative by the Government of St Kitts and Nevis. Every eligible child aged 5 to 18 receives EC$1,000: EC$500 held in a savings account at the St. Kitts-Nevis-Anguilla National Bank, and EC$500 invested in shares of local government-owned entities. Alongside the money, participants get age-appropriate financial education, so they build confidence as well as a balance.",aspire|what is aspire|definition|overview|programme,general,https://aspire.gov.kn/,2026-08-20
ASP-002,Overview,Acronym,What does ASPIRE stand for?,"ASPIRE stands for Achieving Success through Personal Investment, Resources, and Education.",acronym|meaning|stand for|full name,general,https://aspire.gov.kn/,2026-07-30
ASP-003,Overview,Purpose,What is the goal of ASPIRE?,"Its goal is to empower the nation's youth through financial literacy, real savings and smart early investments, helping them build strong financial foundations and become active participants in the country's economic future.",goal|purpose|mission|aim,general,https://aspire.gov.kn/,2026-07-30
ASP-004,Overview,Pillars,What are the three pillars of ASPIRE?,"ASPIRE is built on three pillars: Savings, Investments, and Financial Education. Each participant gets a seeded savings account, a portion invested in local government-owned companies, and a financial-literacy curriculum delivered through schools.",pillars|three pillars|components|structure,general,https://aspire.gov.kn/,2026-07-30
ASP-005,Overview,Who runs it,Who created and runs ASPIRE?,"ASPIRE was established by the Government of Saint Kitts and Nevis. It is delivered through partners including the Ministry of Education, the Eastern Caribbean Central Bank, the Department of Information Technology, and the St. Kitts-Nevis-Anguilla National Bank, and is overseen by an ASPIRE Council and ASPIRE Task Force.",who runs|government|operator|administered,general,https://aspire.gov.kn/,2026-07-30
ASP-006,Overview,Launch date,When was ASPIRE established?,ASPIRE was established by the Government of Saint Kitts and Nevis in September 2024. It was announced by Prime Minister Dr. Terrance Drew at the Independence 41 National Youth Rally on 13 September 2024.,launch|established|start date|when|2024,general,https://aspire.gov.kn/,2026-07-30
ASP-007,Overview,Launch event,Where was ASPIRE first announced?,"Prime Minister Dr. Terrance Drew announced ASPIRE at the Independence 41 National Youth Rally, held at Warner Park in September 2024.",launch event|warner park|youth rally|announcement,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2024-09-13
ASP-008,Overview,Uniqueness,Is ASPIRE unique to Saint Kitts and Nevis?,"Yes. ASPIRE is the first initiative of its kind in the region and is unique to Saint Kitts and Nevis, standing as a symbol of the government's commitment to the nation's youth.",unique|first of its kind|region|caribbean,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
ASP-009,Overview,Region first,Is ASPIRE the first programme of its kind in the Caribbean?,"Yes. Officials describe ASPIRE as the first programme of its kind in the region, combining a seeded savings account, share ownership and financial education for every eligible child.",first|caribbean|regional|pioneer,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
